time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
45525,-0.25,0.22,1.40,21.61,-2.56,-1.10
45541,-0.25,0.23,1.45,9.34,-1.89,-1.22
45557,-0.26,0.22,1.47,4.58,-0.92,-0.98
45573,-0.28,0.21,1.50,0.85,-3.05,2.56
45589,-0.30,0.19,1.50,2.20,-13.24,5.49
45605,-0.32,0.17,1.50,7.39,-19.96,7.57
45621,-0.32,0.16,1.48,17.82,-32.35,12.39
45637,-0.28,0.15,1.43,19.17,-42.48,14.65
45653,-0.26,0.15,1.39,16.91,-46.63,14.10
45669,-0.24,0.15,1.31,15.01,-54.14,12.94
45685,-0.21,0.13,1.24,9.77,-58.59,13.67
45701,-0.20,0.13,1.20,5.68,-59.51,14.04
45717,-0.17,0.12,1.14,-5.37,-58.84,13.18
45733,-0.13,0.10,1.06,-16.54,-54.99,10.74
45749,-0.12,0.09,1.03,-18.68,-52.31,10.50
45765,-0.09,0.08,0.99,-18.92,-47.79,11.90
45781,-0.08,0.07,0.97,-19.59,-43.33,12.88
45797,-0.06,0.06,0.96,-18.31,-42.18,12.63
45813,-0.04,0.06,0.93,-18.49,-43.03,11.17
45829,-0.03,0.06,0.91,-18.07,-45.65,11.54
45845,0.00,0.07,0.85,-16.36,-47.79,12.57
45861,0.03,0.06,0.79,-7.93,-52.98,17.40
45877,0.03,0.05,0.77,4.33,-56.40,23.86
45893,0.03,0.06,0.73,7.75,-57.37,25.94
45909,0.05,0.05,0.66,6.65,-58.47,28.50
45925,0.07,0.03,0.62,3.23,-58.41,29.30
45941,0.12,0.01,0.55,-5.37,-57.50,29.66
45957,0.16,-0.02,0.48,-15.87,-54.02,26.06
45973,0.17,-0.03,0.45,-20.94,-51.15,23.80
45989,0.18,-0.04,0.41,-26.18,-44.37,17.88
46005,0.19,-0.05,0.39,-18.55,-31.62,13.55
46021,0.19,-0.05,0.41,-12.27,-23.56,12.57
46037,0.17,-0.06,0.49,-3.72,-5.55,12.27
46053,0.17,-0.07,0.54,-10.07,7.69,11.72
46069,0.17,-0.09,0.57,-15.63,11.90,10.19
46085,0.15,-0.12,0.60,-29.11,17.46,5.19
46101,0.13,-0.14,0.61,-37.96,22.16,-0.98
46117,0.13,-0.14,0.63,-36.07,24.90,-3.66
46133,0.14,-0.15,0.67,-26.55,29.72,-7.75
46149,0.14,-0.13,0.71,-11.84,30.33,-7.63
46165,0.15,-0.13,0.72,-4.64,27.65,-5.92
46181,0.13,-0.11,0.74,4.70,20.39,-1.40
46197,0.09,-0.09,0.76,2.32,19.04,-0.49
46213,0.08,-0.07,0.77,-2.38,20.94,-2.14
46229,0.12,-0.07,0.79,-11.72,27.59,-8.30
46245,0.17,-0.08,0.80,-12.15,33.20,-8.00
46261,0.15,-0.09,0.81,-7.45,35.03,-4.27
46277,0.09,-0.09,0.88,3.42,36.07,4.39
46293,-0.01,-0.07,0.94,5.31,36.50,6.04
46309,-0.04,-0.07,0.96,3.78,36.80,4.52
46325,-0.00,-0.05,0.99,4.70,37.41,-0.06
46341,0.04,-0.02,1.01,7.39,37.72,-3.85
46357,0.04,-0.02,1.01,6.77,38.27,-2.26
46373,-0.02,-0.04,1.01,5.07,38.94,6.77
46389,-0.11,-0.09,1.01,3.54,37.48,13.98
46405,-0.13,-0.12,1.02,3.30,37.29,14.89
46421,-0.13,-0.12,1.06,0.18,41.56,8.54
46437,-0.08,-0.09,1.06,-9.22,49.56,-7.51
46453,-0.07,-0.08,1.06,-13.06,53.65,-14.04
46469,-0.12,-0.05,1.07,-7.14,61.28,-15.14
46485,-0.17,-0.01,1.12,5.62,60.91,-7.51
46501,-0.18,-0.02,1.15,6.84,56.70,-2.50
46517,-0.18,-0.02,1.11,-6.47,43.03,2.44
46533,-0.15,-0.03,1.23,24.60,36.01,11.60
46549,-0.14,0.00,1.22,21.48,22.16,7.57
46565,-0.15,-0.01,1.15,13.31,15.14,-3.36
46581,-0.17,0.01,1.15,19.71,15.93,2.38
46597,-0.17,0.03,1.16,24.90,14.59,5.98
46613,-0.19,0.02,1.15,28.99,11.60,10.86
46629,-0.17,0.02,1.15,30.40,7.63,16.54
46645,-0.17,0.03,1.14,26.43,4.82,17.33
46661,-0.16,0.01,1.10,13.98,3.72,14.16
46677,-0.20,-0.01,1.08,12.82,8.61,12.70
46693,-0.21,0.00,1.11,22.16,11.84,13.24
46709,-0.24,0.01,1.15,26.00,17.70,10.62
46725,-0.26,0.02,1.23,34.00,24.72,12.02
46741,-0.26,0.02,1.27,34.24,24.35,13.31
46757,-0.25,0.03,1.38,28.14,19.17,11.84
46773,-0.29,0.04,1.40,4.33,8.85,2.81
46789,-0.28,0.02,1.37,-6.90,1.28,-1.95
46805,-0.24,0.03,1.29,-5.00,-14.59,-5.92
46821,-0.23,0.05,1.28,8.24,-22.34,-5.49
46837,-0.23,0.10,1.28,9.28,-21.61,-5.43
46853,-0.22,0.10,1.32,2.50,-12.02,-2.56
46869,-0.25,0.09,1.36,-1.40,-0.61,0.31
46885,-0.30,0.06,1.45,-5.07,0.31,0.24
46901,-0.34,0.04,1.50,-10.13,-4.33,-1.83
46917,-0.34,0.03,1.51,-15.93,-12.27,-5.74
46933,-0.33,0.01,1.48,-17.76,-16.85,-7.45
46949,-0.29,-0.00,1.40,-23.56,-25.94,-12.76
46965,-0.29,-0.00,1.35,-26.86,-30.27,-30.70
46981,-0.28,-0.01,1.23,-30.33,-36.13,-17.82
46997,-0.25,-0.01,1.13,-22.28,-36.13,-17.94
47013,-0.22,0.01,1.10,-17.27,-33.69,-17.21
47029,-0.16,0.04,1.06,-6.10,-26.61,-14.65
47045,-0.12,0.06,1.02,-6.10,-20.69,-10.19
47061,-0.11,0.06,1.00,-8.18,-18.31,-7.63
47077,-0.10,0.03,0.94,-14.59,-13.98,-1.46
47093,-0.09,-0.00,0.90,-10.86,-11.23,4.88
47109,-0.11,-0.02,0.90,-5.31,-10.80,6.41
47125,-0.12,-0.02,0.89,3.30,-13.37,6.71
47141,-0.10,-0.01,0.90,6.84,-18.98,5.07
47157,-0.10,-0.01,0.90,7.39,-24.11,4.64
47173,-0.09,0.00,0.89,10.19,-34.42,6.10
47189,-0.08,0.01,0.83,8.24,-44.98,8.91
47205,-0.08,0.01,0.79,5.00,-50.72,10.56
47221,-0.09,-0.00,0.67,-2.26,-60.73,14.22
47237,-0.08,-0.02,0.55,-2.75,-66.04,17.21
47253,-0.07,-0.02,0.51,0.49,-65.37,18.86
47269,-0.03,-0.03,0.48,8.48,-56.34,21.67
